Quarter,Benefit_Group,Continuous_duration,Gender,Age_Group,Ethnicity,Count
SEP10,Jobseeker Support,More than 1 year,Female,40-54,Pacific Island,1073
SEP10,Jobseeker Support,More than 1 year,Female,40-54,Other,2607
SEP10,Jobseeker Support,More than 1 year,Female,40-54,Unspecified,317
SEP10,Jobseeker Support,More than 1 year,Female,55-64,NZ European,5198
SEP10,Jobseeker Support,More than 1 year,Female,55-64,Maori,2195
SEP10,Jobseeker Support,More than 1 year,Female,55-64,Pacific Island,884
SEP10,Jobseeker Support,More than 1 year,Female,55-64,Other,2374
SEP10,Jobseeker Support,More than 1 year,Female,55-64,Unspecified,495
SEP10,Jobseeker Support,More than 1 year,Male,18-24,NZ European,2518
SEP10,Jobseeker Support,More than 1 year,Male,18-24,Maori,2223
SEP10,Jobseeker Support,More than 1 year,Male,18-24,Pacific Island,535
SEP10,Jobseeker Support,More than 1 year,Male,18-24,Other,478
SEP10,Jobseeker Support,More than 1 year,Male,18-24,Unspecified,253
SEP10,Jobseeker Support,More than 1 year,Male,25-39,NZ European,6219
SEP10,Jobseeker Support,More than 1 year,Male,25-39,Maori,5355
SEP10,Jobseeker Support,More than 1 year,Male,25-39,Pacific Island,1312
SEP10,Jobseeker Support,More than 1 year,Male,25-39,Other,1516
SEP10,Jobseeker Support,More than 1 year,Male,25-39,Unspecified,92
SEP10,Jobseeker Support,More than 1 year,Male,40-54,NZ European,7311
SEP10,Jobseeker Support,More than 1 year,Male,40-54,Maori,5100
SEP10,Jobseeker Support,More than 1 year,Male,40-54,Pacific Island,1281
SEP10,Jobseeker Support,More than 1 year,Male,40-54,Other,2192
SEP10,Jobseeker Support,More than 1 year,Male,40-54,Unspecified,218
SEP10,Jobseeker Support,More than 1 year,Male,55-64,NZ European,3830
SEP10,Jobseeker Support,More than 1 year,Male,55-64,Maori,1497
SEP10,Jobseeker Support,More than 1 year,Male,55-64,Pacific Island,751
SEP10,Jobseeker Support,More than 1 year,Male,55-64,Other,1716
SEP10,Jobseeker Support,More than 1 year,Male,55-64,Unspecified,204
SEP10,Sole Parent Support,1 year or less,Female,18-24,NZ European,1602
SEP10,Sole Parent Support,1 year or less,Female,18-24,Maori,2192
SEP10,Sole Parent Support,1 year or less,Female,18-24,Pacific Island,434
SEP10,Sole Parent Support,1 year or less,Female,18-24,Other,228
SEP10,Sole Parent Support,1 year or less,Female,18-24,Unspecified,218
SEP10,Sole Parent Support,1 year or less,Female,25-39,NZ European,3691
SEP10,Sole Parent Support,1 year or less,Female,25-39,Maori,3300
SEP10,Sole Parent Support,1 year or less,Female,25-39,Pacific Island,795
SEP10,Sole Parent Support,1 year or less,Female,25-39,Other,881
SEP10,Sole Parent Support,1 year or less,Female,25-39,Unspecified,89
SEP10,Sole Parent Support,1 year or less,Female,40-54,NZ European,1294
SEP10,Sole Parent Support,1 year or less,Female,40-54,Maori,793
SEP10,Sole Parent Support,1 year or less,Female,40-54,Pacific Island,266
SEP10,Sole Parent Support,1 year or less,Female,40-54,Other,428
SEP10,Sole Parent Support,1 year or less,Female,40-54,Unspecified,89
SEP10,Sole Parent Support,1 year or less,Female,55-64,Ethnicity suppressed,81
SEP10,Sole Parent Support,1 year or less,Male,18-24,NZ European,61
SEP10,Sole Parent Support,1 year or less,Male,18-24,Maori,187
SEP10,Sole Parent Support,1 year or less,Male,18-24,Pacific Island,29
SEP10,Sole Parent Support,1 year or less,Male,18-24,Other,8
SEP10,Sole Parent Support,1 year or less,Male,18-24,Unspecified,9
SEP10,Sole Parent Support,1 year or less,Male,25-39,NZ European,385
SEP10,Sole Parent Support,1 year or less,Male,25-39,Maori,675
SEP10,Sole Parent Support,1 year or less,Male,25-39,Pacific Island,121
SEP10,Sole Parent Support,1 year or less,Male,25-39,Other,52
SEP10,Sole Parent Support,1 year or less,Male,25-39,Unspecified,7
SEP10,Sole Parent Support,1 year or less,Male,40-54,NZ European,265
SEP10,Sole Parent Support,1 year or less,Male,40-54,Maori,243
SEP10,Sole Parent Support,1 year or less,Male,40-54,Pacific Island,53
SEP10,Sole Parent Support,1 year or less,Male,40-54,Other,74
SEP10,Sole Parent Support,1 year or less,Male,40-54,Unspecified,10
SEP10,Sole Parent Support,1 year or less,Male,55-64,Ethnicity suppressed,50
SEP10,Sole Parent Support,More than 1 year,Female,18-24,NZ European,4538
SEP10,Sole Parent Support,More than 1 year,Female,18-24,Maori,7481
SEP10,Sole Parent Support,More than 1 year,Female,18-24,Pacific Island,1414
SEP10,Sole Parent Support,More than 1 year,Female,18-24,Other,623
SEP10,Sole Parent Support,More than 1 year,Female,18-24,Unspecified,521
SEP10,Sole Parent Support,More than 1 year,Female,25-39,NZ European,12294
SEP10,Sole Parent Support,More than 1 year,Female,25-39,Maori,15456
SEP10,Sole Parent Support,More than 1 year,Female,25-39,Pacific Island,3615
SEP10,Sole Parent Support,More than 1 year,Female,25-39,Other,2563
SEP10,Sole Parent Support,More than 1 year,Female,25-39,Unspecified,256
SEP10,Sole Parent Support,More than 1 year,Female,40-54,NZ European,5972
SEP10,Sole Parent Support,More than 1 year,Female,40-54,Maori,4758
SEP10,Sole Parent Support,More than 1 year,Female,40-54,Pacific Island,1382
SEP10,Sole Parent Support,More than 1 year,Female,40-54,Other,1978
SEP10,Sole Parent Support,More than 1 year,Female,40-54,Unspecified,271
SEP10,Sole Parent Support,More than 1 year,Female,55-64,NZ European,138
SEP10,Sole Parent Support,More than 1 year,Female,55-64,Maori,289
SEP10,Sole Parent Support,More than 1 year,Female,55-64,Pacific Island,149
SEP10,Sole Parent Support,More than 1 year,Female,55-64,Other,54
SEP10,Sole Parent Support,More than 1 year,Female,55-64,Unspecified,6
SEP10,Sole Parent Support,More than 1 year,Male,18-24,NZ European,68
SEP10,Sole Parent Support,More than 1 year,Male,18-24,Maori,269
SEP10,Sole Parent Support,More than 1 year,Male,18-24,Pacific Island,38
SEP10,Sole Parent Support,More than 1 year,Male,18-24,Other,8
SEP10,Sole Parent Support,More than 1 year,Male,18-24,Unspecified,7
SEP10,Sole Parent Support,More than 1 year,Male,25-39,NZ European,942
SEP10,Sole Parent Support,More than 1 year,Male,25-39,Maori,1834
SEP10,Sole Parent Support,More than 1 year,Male,25-39,Pacific Island,333
SEP10,Sole Parent Support,More than 1 year,Male,25-39,Other,116
SEP10,Sole Parent Support,More than 1 year,Male,25-39,Unspecified,17
SEP10,Sole Parent Support,More than 1 year,Male,40-54,NZ European,888
SEP10,Sole Parent Support,More than 1 year,Male,40-54,Maori,1002
SEP10,Sole Parent Support,More than 1 year,Male,40-54,Pacific Island,241
SEP10,Sole Parent Support,More than 1 year,Male,40-54,Other,195
SEP10,Sole Parent Support,More than 1 year,Male,40-54,Unspecified,45
SEP10,Sole Parent Support,More than 1 year,Male,55-64,NZ European,86
SEP10,Sole Parent Support,More than 1 year,Male,55-64,Maori,85
SEP10,Sole Parent Support,More than 1 year,Male,55-64,Pacific Island,41
SEP10,Sole Parent Support,More than 1 year,Male,55-64,Other,31
SEP10,Sole Parent Support,More than 1 year,Male,55-64,Unspecified,10
SEP10,Supported Living,1 year or less,Female,18-24,NZ European,124
SEP10,Supported Living,1 year or less,Female,18-24,Maori,107
SEP10,Supported Living,1 year or less,Female,18-24,Pacific Island,58
SEP10,Supported Living,1 year or less,Female,18-24,Other,34
SEP10,Supported Living,1 year or less,Female,18-24,Unspecified,12
SEP10,Supported Living,1 year or less,Female,25-39,NZ European,174
SEP10,Supported Living,1 year or less,Female,25-39,Maori,167
SEP10,Supported Living,1 year or less,Female,25-39,Pacific Island,80
SEP10,Supported Living,1 year or less,Female,25-39,Other,44
SEP10,Supported Living,1 year or less,Female,25-39,Unspecified,13
SEP10,Supported Living,1 year or less,Female,40-54,NZ European,468
SEP10,Supported Living,1 year or less,Female,40-54,Maori,264
SEP10,Supported Living,1 year or less,Female,40-54,Pacific Island,119
SEP10,Supported Living,1 year or less,Female,40-54,Other,153
SEP10,Supported Living,1 year or less,Female,40-54,Unspecified,83
SEP10,Supported Living,1 year or less,Female,55-64,NZ European,409
SEP10,Supported Living,1 year or less,Female,55-64,Maori,143
SEP10,Supported Living,1 year or less,Female,55-64,Pacific Island,62
SEP10,Supported Living,1 year or less,Female,55-64,Other,200
SEP10,Supported Living,1 year or less,Female,55-64,Unspecified,174
SEP10,Supported Living,1 year or less,Male,18-24,NZ European,161
SEP10,Supported Living,1 year or less,Male,18-24,Maori,113
SEP10,Supported Living,1 year or less,Male,18-24,Pacific Island,39
SEP10,Supported Living,1 year or less,Male,18-24,Other,47
SEP10,Supported Living,1 year or less,Male,18-24,Unspecified,10
SEP10,Supported Living,1 year or less,Male,25-39,NZ European,183
SEP10,Supported Living,1 year or less,Male,25-39,Maori,159
SEP10,Supported Living,1 year or less,Male,25-39,Pacific Island,53
SEP10,Supported Living,1 year or less,Male,25-39,Other,51
SEP10,Supported Living,1 year or less,Male,25-39,Unspecified,8
SEP10,Supported Living,1 year or less,Male,40-54,NZ European,395
SEP10,Supported Living,1 year or less,Male,40-54,Maori,220
SEP10,Supported Living,1 year or less,Male,40-54,Pacific Island,65
SEP10,Supported Living,1 year or less,Male,40-54,Other,122
SEP10,Supported Living,1 year or less,Male,40-54,Unspecified,75
SEP10,Supported Living,1 year or less,Male,55-64,NZ European,549
SEP10,Supported Living,1 year or less,Male,55-64,Maori,158
SEP10,Supported Living,1 year or less,Male,55-64,Pacific Island,55
SEP10,Supported Living,1 year or less,Male,55-64,Other,212
SEP10,Supported Living,1 year or less,Male,55-64,Unspecified,173
SEP10,Supported Living,More than 1 year,Female,18-24,NZ European,1549
SEP10,Supported Living,More than 1 year,Female,18-24,Maori,752
SEP10,Supported Living,More than 1 year,Female,18-24,Pacific Island,209
SEP10,Supported Living,More than 1 year,Female,18-24,Other,274
SEP10,Supported Living,More than 1 year,Female,18-24,Unspecified,77
SEP10,Supported Living,More than 1 year,Female,25-39,NZ European,3971
SEP10,Supported Living,More than 1 year,Female,25-39,Maori,2079
SEP10,Supported Living,More than 1 year,Female,25-39,Pacific Island,567
SEP10,Supported Living,More than 1 year,Female,25-39,Other,887
SEP10,Supported Living,More than 1 year,Female,25-39,Unspecified,61
SEP10,Supported Living,More than 1 year,Female,40-54,NZ European,8457
SEP10,Supported Living,More than 1 year,Female,40-54,Maori,4002
SEP10,Supported Living,More than 1 year,Female,40-54,Pacific Island,959
SEP10,Supported Living,More than 1 year,Female,40-54,Other,2565
SEP10,Supported Living,More than 1 year,Female,40-54,Unspecified,311
SEP10,Supported Living,More than 1 year,Female,55-64,NZ European,8353
SEP10,Supported Living,More than 1 year,Female,55-64,Maori,2829
SEP10,Supported Living,More than 1 year,Female,55-64,Pacific Island,810
SEP10,Supported Living,More than 1 year,Female,55-64,Other,2744
SEP10,Supported Living,More than 1 year,Female,55-64,Unspecified,696
SEP10,Supported Living,More than 1 year,Male,18-24,NZ European,1918
SEP10,Supported Living,More than 1 year,Male,18-24,Maori,906
SEP10,Supported Living,More than 1 year,Male,18-24,Pacific Island,230
SEP10,Supported Living,More than 1 year,Male,18-24,Other,365
SEP10,Supported Living,More than 1 year,Male,18-24,Unspecified,87
SEP10,Supported Living,More than 1 year,Male,25-39,NZ European,4979
SEP10,Supported Living,More than 1 year,Male,25-39,Maori,2713
SEP10,Supported Living,More than 1 year,Male,25-39,Pacific Island,568
SEP10,Supported Living,More than 1 year,Male,25-39,Other,1075
SEP10,Supported Living,More than 1 year,Male,25-39,Unspecified,56
SEP10,Supported Living,More than 1 year,Male,40-54,NZ European,9285
SEP10,Supported Living,More than 1 year,Male,40-54,Maori,3936
SEP10,Supported Living,More than 1 year,Male,40-54,Pacific Island,729
SEP10,Supported Living,More than 1 year,Male,40-54,Other,2625
SEP10,Supported Living,More than 1 year,Male,40-54,Unspecified,265
SEP10,Supported Living,More than 1 year,Male,55-64,NZ European,8022
SEP10,Supported Living,More than 1 year,Male,55-64,Maori,2497
SEP10,Supported Living,More than 1 year,Male,55-64,Pacific Island,871
SEP10,Supported Living,More than 1 year,Male,55-64,Other,2543
SEP10,Supported Living,More than 1 year,Male,55-64,Unspecified,491
SEP10,Youth Payment and Young Parent Payment,1 year or less,Female,18-24,NZ European,200
SEP10,Youth Payment and Young Parent Payment,1 year or less,Female,18-24,Maori,390
SEP10,Youth Payment and Young Parent Payment,1 year or less,Female,18-24,Pacific Island,68
SEP10,Youth Payment and Young Parent Payment,1 year or less,Female,18-24,Other,30
SEP10,Youth Payment and Young Parent Payment,1 year or less,Female,18-24,Unspecified,38
SEP10,Youth Payment and Young Parent Payment,1 year or less,Male,18-24,Ethnicity suppressed,86
SEP10,Youth Payment and Young Parent Payment,More than 1 year,Female,18-24,NZ European,187
SEP10,Youth Payment and Young Parent Payment,More than 1 year,Female,18-24,Maori,330
SEP10,Youth Payment and Young Parent Payment,More than 1 year,Female,18-24,Pacific Island,68
SEP10,Youth Payment and Young Parent Payment,More than 1 year,Female,18-24,Other,32
SEP10,Youth Payment and Young Parent Payment,More than 1 year,Female,18-24,Unspecified,14
SEP10,Youth Payment and Young Parent Payment,More than 1 year,Male,18-24,Ethnicity suppressed,42
SEP10,Other Main Benefit,1 year or less,Female,18-24,NZ European,33
SEP10,Other Main Benefit,1 year or less,Female,18-24,Maori,99
SEP10,Other Main Benefit,1 year or less,Female,18-24,Pacific Island,51
SEP10,Other Main Benefit,1 year or less,Female,18-24,Other,56
SEP10,Other Main Benefit,1 year or less,Female,18-24,Unspecified,9
SEP10,Other Main Benefit,1 year or less,Female,25-39,NZ European,66
SEP10,Other Main Benefit,1 year or less,Female,25-39,Maori,133
SEP10,Other Main Benefit,1 year or less,Female,25-39,Pacific Island,94
SEP10,Other Main Benefit,1 year or less,Female,25-39,Other,167
SEP10,Other Main Benefit,1 year or less,Female,25-39,Unspecified,15
SEP10,Other Main Benefit,1 year or less,Female,40-54,NZ European,94
SEP10,Other Main Benefit,1 year or less,Female,40-54,Maori,91
SEP10,Other Main Benefit,1 year or less,Female,40-54,Pacific Island,38
SEP10,Other Main Benefit,1 year or less,Female,40-54,Other,79
SEP10,Other Main Benefit,1 year or less,Female,40-54,Unspecified,7
SEP10,Other Main Benefit,1 year or less,Female,55-64,NZ European,46
SEP10,Other Main Benefit,1 year or less,Female,55-64,Maori,27
SEP10,Other Main Benefit,1 year or less,Female,55-64,Pacific Island,13
SEP10,Other Main Benefit,1 year or less,Female,55-64,Other,41
SEP10,Other Main Benefit,1 year or less,Female,55-64,Unspecified,7
SEP10,Other Main Benefit,1 year or less,Male,18-24,NZ European,110
SEP10,Other Main Benefit,1 year or less,Male,18-24,Maori,244
SEP10,Other Main Benefit,1 year or less,Male,18-24,Pacific Island,28
SEP10,Other Main Benefit,1 year or less,Male,18-24,Other,33
SEP10,Other Main Benefit,1 year or less,Male,18-24,Unspecified,13
SEP10,Other Main Benefit,1 year or less,Male,25-39,Ethnicity suppressed,702
SEP10,Other Main Benefit,1 year or less,Male,40-54,Ethnicity suppressed,372
SEP10,Other Main Benefit,1 year or less,Male,55-64,Ethnicity suppressed,124
SEP10,Other Main Benefit,More than 1 year,Female,18-24,NZ European,24
SEP10,Other Main Benefit,More than 1 year,Female,18-24,Maori,75
SEP10,Other Main Benefit,More than 1 year,Female,18-24,Pacific Island,63
SEP10,Other Main Benefit,More than 1 year,Female,18-24,Other,44
SEP10,Other Main Benefit,More than 1 year,Female,18-24,Unspecified,8
SEP10,Other Main Benefit,More than 1 year,Female,25-39,NZ European,32
SEP10,Other Main Benefit,More than 1 year,Female,25-39,Maori,140
SEP10,Other Main Benefit,More than 1 year,Female,25-39,Pacific Island,94
SEP10,Other Main Benefit,More than 1 year,Female,25-39,Other,189
SEP10,Other Main Benefit,More than 1 year,Female,25-39,Unspecified,10
SEP10,Other Main Benefit,More than 1 year,Female,40-54,Ethnicity suppressed,332
SEP10,Other Main Benefit,More than 1 year,Female,55-64,Ethnicity suppressed,261
SEP10,Other Main Benefit,More than 1 year,Male,18-24,Ethnicity suppressed,156
SEP10,Other Main Benefit,More than 1 year,Male,25-39,NZ European,61
SEP10,Other Main Benefit,More than 1 year,Male,25-39,Maori,405
SEP10,Other Main Benefit,More than 1 year,Male,25-39,Pacific Island,73
SEP10,Other Main Benefit,More than 1 year,Male,25-39,Other,70
SEP10,Other Main Benefit,More than 1 year,Male,40-54,Ethnicity suppressed,316
SEP10,Other Main Benefit,More than 1 year,Male,55-64,Ethnicity suppressed,106
DEC10,Jobseeker Support,1 year or less,Female,18-24,NZ European,3754
DEC10,Jobseeker Support,1 year or less,Female,18-24,Maori,3426
DEC10,Jobseeker Support,1 year or less,Female,18-24,Pacific Island,925
DEC10,Jobseeker Support,1 year or less,Female,18-24,Other,975
DEC10,Jobseeker Support,1 year or less,Female,18-24,Unspecified,605
DEC10,Jobseeker Support,1 year or less,Female,25-39,NZ European,2423
DEC10,Jobseeker Support,1 year or less,Female,25-39,Maori,1739
DEC10,Jobseeker Support,1 year or less,Female,25-39,Pacific Island,509
DEC10,Jobseeker Support,1 year or less,Female,25-39,Other,796
DEC10,Jobseeker Support,1 year or less,Female,25-39,Unspecified,72
DEC10,Jobseeker Support,1 year or less,Female,40-54,NZ European,2845
DEC10,Jobseeker Support,1 year or less,Female,40-54,Maori,1801
DEC10,Jobseeker Support,1 year or less,Female,40-54,Pacific Island,385
DEC10,Jobseeker Support,1 year or less,Female,40-54,Other,1079
DEC10,Jobseeker Support,1 year or less,Female,40-54,Unspecified,183
DEC10,Jobseeker Support,1 year or less,Female,55-64,NZ European,1984
DEC10,Jobseeker Support,1 year or less,Female,55-64,Maori,665
DEC10,Jobseeker Support,1 year or less,Female,55-64,Pacific Island,200
DEC10,Jobseeker Support,1 year or less,Female,55-64,Other,755
DEC10,Jobseeker Support,1 year or less,Female,55-64,Unspecified,246
DEC10,Jobseeker Support,1 year or less,Male,18-24,NZ European,5489
DEC10,Jobseeker Support,1 year or less,Male,18-24,Maori,5042
DEC10,Jobseeker Support,1 year or less,Male,18-24,Pacific Island,1043
DEC10,Jobseeker Support,1 year or less,Male,18-24,Other,1299
DEC10,Jobseeker Support,1 year or less,Male,18-24,Unspecified,667
DEC10,Jobseeker Support,1 year or less,Male,25-39,NZ European,5648
DEC10,Jobseeker Support,1 year or less,Male,25-39,Maori,4901
DEC10,Jobseeker Support,1 year or less,Male,25-39,Pacific Island,1117
DEC10,Jobseeker Support,1 year or less,Male,25-39,Other,1612
DEC10,Jobseeker Support,1 year or less,Male,25-39,Unspecified,155
DEC10,Jobseeker Support,1 year or less,Male,40-54,NZ European,4575
DEC10,Jobseeker Support,1 year or less,Male,40-54,Maori,3020
DEC10,Jobseeker Support,1 year or less,Male,40-54,Pacific Island,753
DEC10,Jobseeker Support,1 year or less,Male,40-54,Other,1302
DEC10,Jobseeker Support,1 year or less,Male,40-54,Unspecified,207
DEC10,Jobseeker Support,1 year or less,Male,55-64,NZ European,2316
DEC10,Jobseeker Support,1 year or less,Male,55-64,Maori,814
DEC10,Jobseeker Support,1 year or less,Male,55-64,Pacific Island,247
DEC10,Jobseeker Support,1 year or less,Male,55-64,Other,857
DEC10,Jobseeker Support,1 year or less,Male,55-64,Unspecified,163
DEC10,Jobseeker Support,More than 1 year,Female,18-24,NZ European,1858
DEC10,Jobseeker Support,More than 1 year,Female,18-24,Maori,1593
DEC10,Jobseeker Support,More than 1 year,Female,18-24,Pacific Island,337
DEC10,Jobseeker Support,More than 1 year,Female,18-24,Other,315
DEC10,Jobseeker Support,More than 1 year,Female,18-24,Unspecified,207
DEC10,Jobseeker Support,More than 1 year,Female,25-39,NZ European,3074
DEC10,Jobseeker Support,More than 1 year,Female,25-39,Maori,2717
DEC10,Jobseeker Support,More than 1 year,Female,25-39,Pacific Island,618
DEC10,Jobseeker Support,More than 1 year,Female,25-39,Other,775
DEC10,Jobseeker Support,More than 1 year,Female,25-39,Unspecified,46
DEC10,Jobseeker Support,More than 1 year,Female,40-54,NZ European,6533
DEC10,Jobseeker Support,More than 1 year,Female,40-54,Maori,4559
DEC10,Jobseeker Support,More than 1 year,Female,40-54,Pacific Island,1043
DEC10,Jobseeker Support,More than 1 year,Female,40-54,Other,2505
DEC10,Jobseeker Support,More than 1 year,Female,40-54,Unspecified,312
DEC10,Jobseeker Support,More than 1 year,Female,55-64,NZ European,5294
DEC10,Jobseeker Support,More than 1 year,Female,55-64,Maori,2189
DEC10,Jobseeker Support,More than 1 year,Female,55-64,Pacific Island,885
DEC10,Jobseeker Support,More than 1 year,Female,55-64,Other,2393
DEC10,Jobseeker Support,More than 1 year,Female,55-64,Unspecified,496
DEC10,Jobseeker Support,More than 1 year,Male,18-24,NZ European,2498
DEC10,Jobseeker Support,More than 1 year,Male,18-24,Maori,2107
DEC10,Jobseeker Support,More than 1 year,Male,18-24,Pacific Island,475
DEC10,Jobseeker Support,More than 1 year,Male,18-24,Other,493
DEC10,Jobseeker Support,More than 1 year,Male,18-24,Unspecified,241
DEC10,Jobseeker Support,More than 1 year,Male,25-39,NZ European,6323
DEC10,Jobseeker Support,More than 1 year,Male,25-39,Maori,5440
DEC10,Jobseeker Support,More than 1 year,Male,25-39,Pacific Island,1289
DEC10,Jobseeker Support,More than 1 year,Male,25-39,Other,1527
DEC10,Jobseeker Support,More than 1 year,Male,25-39,Unspecified,97
DEC10,Jobseeker Support,More than 1 year,Male,40-54,NZ European,7525
DEC10,Jobseeker Support,More than 1 year,Male,40-54,Maori,5246
DEC10,Jobseeker Support,More than 1 year,Male,40-54,Pacific Island,1307
DEC10,Jobseeker Support,More than 1 year,Male,40-54,Other,2252
DEC10,Jobseeker Support,More than 1 year,Male,40-54,Unspecified,210
DEC10,Jobseeker Support,More than 1 year,Male,55-64,NZ European,3958
DEC10,Jobseeker Support,More than 1 year,Male,55-64,Maori,1564
DEC10,Jobseeker Support,More than 1 year,Male,55-64,Pacific Island,754
DEC10,Jobseeker Support,More than 1 year,Male,55-64,Other,1710
DEC10,Jobseeker Support,More than 1 year,Male,55-64,Unspecified,210
DEC10,Sole Parent Support,1 year or less,Female,18-24,NZ European,1593
DEC10,Sole Parent Support,1 year or less,Female,18-24,Maori,2115
DEC10,Sole Parent Support,1 year or less,Female,18-24,Pacific Island,434
DEC10,Sole Parent Support,1 year or less,Female,18-24,Other,226
DEC10,Sole Parent Support,1 year or less,Female,18-24,Unspecified,204
DEC10,Sole Parent Support,1 year or less,Female,25-39,NZ European,3721
DEC10,Sole Parent Support,1 year or less,Female,25-39,Maori,3155
DEC10,Sole Parent Support,1 year or less,Female,25-39,Pacific Island,774
DEC10,Sole Parent Support,1 year or less,Female,25-39,Other,868
DEC10,Sole Parent Support,1 year or less,Female,25-39,Unspecified,87
DEC10,Sole Parent Support,1 year or less,Female,40-54,NZ European,1349
DEC10,Sole Parent Support,1 year or less,Female,40-54,Maori,778
DEC10,Sole Parent Support,1 year or less,Female,40-54,Pacific Island,280
DEC10,Sole Parent Support,1 year or less,Female,40-54,Other,433
DEC10,Sole Parent Support,1 year or less,Female,40-54,Unspecified,85
DEC10,Sole Parent Support,1 year or less,Female,55-64,Ethnicity suppressed,80
DEC10,Sole Parent Support,1 year or less,Male,18-24,Ethnicity suppressed,275
DEC10,Sole Parent Support,1 year or less,Male,25-39,Ethnicity suppressed,1171
DEC10,Sole Parent Support,1 year or less,Male,40-54,NZ European,235
DEC10,Sole Parent Support,1 year or less,Male,40-54,Maori,235
DEC10,Sole Parent Support,1 year or less,Male,40-54,Pacific Island,51
DEC10,Sole Parent Support,1 year or less,Male,40-54,Other,75
DEC10,Sole Parent Support,1 year or less,Male,40-54,Unspecified,13
DEC10,Sole Parent Support,1 year or less,Male,55-64,Ethnicity suppressed,57
DEC10,Sole Parent Support,More than 1 year,Female,18-24,NZ European,4575
DEC10,Sole Parent Support,More than 1 year,Female,18-24,Maori,7543
DEC10,Sole Parent Support,More than 1 year,Female,18-24,Pacific Island,1430
DEC10,Sole Parent Support,More than 1 year,Female,18-24,Other,625
DEC10,Sole Parent Support,More than 1 year,Female,18-24,Unspecified,527
DEC10,Sole Parent Support,More than 1 year,Female,25-39,NZ European,12304
